_id,b_cate,book_author,book_desc,book_href,book_img,book_press,book_price,s_cate,s_href,title
5a3a62ec1d41c8707540aef6,养生健康,袁堂欣 编著,《糖尿病调养食谱》介绍防治糖尿病的食谱疗法，采用科学严谨的态度，通俗易懂的语言，分别介绍了糖尿病的饮食宜忌、食疗食谱及日常生活护理。每个菜谱、粥肴、汤羹、茶饮都有原料、功效，又有制作方法，内容翔实，照方制作，即可收到较好的疗效。食疗既补充人体所需的营养物质，又可以改善患者的体质，提高抗病能力，从而达到无病先防、既病防变、小病自疗的目的。,http://snbook.suning.com/web/prd/108901841.htm,http://snbook.suning.cn/pic/108/901/841/108901841_l.jpg,大众文艺出版社,3.5,营养美食,http://snbook.suning.com//web/trd-fl/100804/87.htm,中华营养百味：糖尿病调养食谱
5a3a62ec1d41c8707540aef7,养生健康,[美]华莱士·沃特莱斯/著，冯松/译,本书是美国著名作家华莱士·沃特莱斯的代表作失落三部曲的其中之一，全书从心理学和励志学角度讲述了赢得健康的一些理论和方法，主要宣传的是积极的心态对于健康状况的实际影响，作者尤其关注了一些人们平时所忽略但危害健康的思想和生活习惯，注重心理作用对于健康的影响。本书认为健康的秘密从来都非常简单，心宽体健外加正确的养生方法，可以让人保持健康并延长寿命，但整天担忧，总是包着负面情绪的人则只会得到相反的结果。,http://snbook.suning.com/web/prd/105361897.htm,http://snbook.suning.cn/pic/105/361/897/105361897_l.jpg,新世界出版社,5.99,大众健康,http://snbook.suning.com//web/trd-fl/100801/75.htm,失落的健康箴言
5a3a62ed1d41c8707540aef8,养生健康,彭永强 刘春岭,本书精选健康养生作家彭永强在各大健康养生类报刊发表的文章200余篇。文章结合作者在三级甲等医院工作的相关经历，与临床病例紧密结合，广泛征求医学专家、营养专家的意见、建议，具有极强的科学性、严谨性、可操作性，给读者带来诸多有益的指导与借鉴，是饮食调养、保健养生的首选读物。,http://snbook.suning.com/web/prd/129878216.htm,http://snbook.suning.cn/pic/129/878/216/129878216_l.jpg,江苏凤凰科学技术出版社,4.99,营养美食,http://snbook.suning.com//web/trd-fl/100804/87.htm,舌尖上的健康之道
5a3a62ed1d41c8707540aef9,养生健康,曹军 孙平,　　《喝瘦 : 越喝越瘦的神奇蔬果汁》共介绍了280余种鲜榨蔬果汁的制作方法，均简单易懂，便于家庭制作。并从助消化、排宿便，清热利尿、排毒，加速燃烧脂肪，防止水肿，减少吸收这5个方面，带你逐步实现健康瘦身的理想。最后，我们还安排了一系列能够增强体质、提高免疫力的蔬果汁，不仅可以在你减肥瘦身的同时为你提供必要的营养物质，还具有一定的保健功效，能够防治一些慢性疾病和常见小毛病，可谓一举多得！,http://snbook.suning.com/web/prd/129864314.htm,http://snbook.suning.cn/pic/129/864/314/129864314_l.jpg,江苏凤凰科学技术出版社有限公司,5.96,营养美食,http://snbook.suning.com//web/trd-fl/100804/87.htm,越喝越瘦的神奇蔬果汁
5a3a62ed1d41c8707540aefa,养生健康,郭振中 著,你也许不敢相信：现代人的脊椎，几乎个个有问题！世界上最严重的疾病，不是癌症，不是心脑血管疾病，也不是糖尿病，而是脊椎病！因为一旦脊椎出现异常，这些疾病统统有可能找上你！《脊椎养护完全手册》是一本教你正确认识脊椎、学会自我保养脊椎的超实用手册。作者用丰富的临床经验，并用几十幅生动形象的手绘图，把脊椎每一节异常会引起哪些疾病向读者讲解得清清楚楚。你会惊讶地发现：许多看似与脊椎毫无关联的病症，比如失眠、哮喘、冠心病、胃溃疡、月经不调、便秘等，很可能就源自于这根出了问题的“顶梁柱”。在书中，作者还将自己行医多年总结出的几十套脊椎问题自测法和脊椎保健操传授给读者。通过简单的练习，读者必定会觉得神清气爽，98%的身体疼痛一扫而光！,http://snbook.suning.com/web/prd/106191244.htm,http://snbook.suning.cn/pic/106/191/244/106191244_l.jpg,世界图书出版公司,9.9,大众健康,http://snbook.suning.com//web/trd-fl/100801/75.htm,脊椎养护完全手册
5a3a62ed1d41c8707540aefb,时尚生活,夏奈,这是夏奈写的一本有关“慢时光旅行”和“自我疗愈”的书。通过一场“慢旅行”来寻找和感知真正的自我。温暖的文字，沉静的图片，触摸地球上十个最特别的城市，从首尔到旧金山，从圣塔克鲁兹到蒙特利尔，从圣西蒙到圣芭芭拉，从圣地亚哥到纽约，再从伊斯坦布尔到上海……走马观花的“赶场”旅行从来都不是他会做的事，他宁愿到了一个新的城市，继续自己原有的步伐，不紧不慢，像这个城市的老居民一样，无所事事去度过一天。他不是用眼睛去看这个世界，而是用心去轻轻体味。在“慢下来的美好时光”里，探索、欣赏、享受和思考。因为旅行，不在于了解和认识一个新的地方；而是在静静的徜徉中，了解和认识未知的自己。,http://snbook.suning.com/web/prd/124810877.htm,http://snbook.suning.cn/pic/124/810/877/124810877_l.jpg,中国华侨出版社,7,旅游,http://snbook.suning.com//web/trd-fl/100604/66.htm,无法靠想象完成的旅行
5a3a62ee1d41c8707540aefc,少儿,大仲马,《三个火枪手》是法国著名作家大仲马于1844年创作的一部以历史事件为题材的通俗历史小说，是大仲马的代表作之一。故事以17世纪法国路易十三时期的宫廷斗争为背景，叙述了达达尼安和三个火枪手为了挫败当时权倾朝野的红衣主教的阴谋，以谋求与邻国英国之间的和平，而与对方展开的一场你死我活的生死较量；真实地再现了17世纪上半叶法国的政治内幕，反映了法国统治阶级之间以及英法之间的政治斗争。    一个多世纪以来，该书被译成多种文字，畅销世界各国。由于小说塑造了一群生动鲜明、性格各异的鲜活人物，20世纪英国历史学家布罗根曾形容大仲马是“外国人心目中法国形象的伟大创造者”。著名武侠小说家金庸先生曾受此书影响，他说：“《侠隐记》（即《三个火枪手》）一书对我一生的影响极大，我之写武侠小说，可说是受了此书的启发。”,http://snbook.suning.com/web/prd/109569708.htm,http://snbook.suning.cn/pic/109/569/708/109569708_l.jpg,浙江少年儿童出版社,3.99,外国儿童文学,http://snbook.suning.com//web/trd-fl/101406/124.htm,三个火枪手
5a3a62ee1d41c8707540aefd,养生健康,刘长江 编著,《实用自我疗法系列：尿毒症实用自我疗法》将深奥的医学原理寓于生动形象的语言之中。本书通过尿毒症常识课堂、尿毒症科学治疗指南、肾的透析和移植、常用药物的科学应用、尿毒症的科学保健、尿毒症的用药常识问答等内容，使读者在轻松愉快的氛围中获得医学保健知识。,http://snbook.suning.com/web/prd/108901925.htm,http://snbook.suning.cn/pic/108/901/925/108901925_l.jpg,中医古籍出版社,2.99,大众健康,http://snbook.suning.com//web/trd-fl/100801/75.htm,尿毒症实用自我疗法（实用自我疗法系列）
5a3a62ee1d41c8707540aefe,少儿,李宏,海洋中有多少生物，海洋生物的环境又是怎样的，海水的又有着怎样的学问，以及海洋对人类的影响，无一不激发我们的好奇，让我们走向探索的道路。早在史前人类就已经在海洋上旅行，从海洋中捕鱼，以海洋为生，对海洋进行探索。然对深海海底的探索一直到20世纪中才真正开始。而今，我们通过高科技来探索海洋，进一步揭开海洋神秘的面纱，还你一个更加真实的海洋。,http://snbook.suning.com/web/prd/107821468.htm,http://snbook.suning.cn/pic/107/821/468/107821468_l.jpg,辽海出版社,3.99,科普/百科,http://snbook.suning.com//web/trd-fl/101407/125.htm,高新科技的开发（海洋与科技探索之旅）
5a3a62ee1d41c8707540aeff,少儿,"阿拉伯民间故事,姜浦/译",世界上再没有哪一部名著会像《一千零一夜》这样，能让孩子们充满幻想了。在书中各种各样的奇幻故事里，渴求冒险的少年们在经历一番磨难后总能寻得宝藏，住在戒指或油灯中的魔鬼与精灵也总会给他们的主人带来惊喜。,http://snbook.suning.com/web/prd/105440289.htm,http://snbook.suning.cn/pic/105/440/289/105440289_l.jpg,北京联合出版公司,9.66,外国儿童文学,http://snbook.suning.com//web/trd-fl/101406/124.htm,一千零一夜 (下）
